emp_id,employee_name,department,job_title,hire_date,salary,performance_rating,experience_yrs,location,hire_year,hire_month,hire_quarter,hire_month_year,hire_day_name,hire_is_weekend,experience_level
EMP-5028,Employee 28,Marketing,Account Executive,2022-02-11,95000.0,5.0,1.0,Hyderabad,2022.0,2.0,2022Q1,2022-02,Friday,False,Junior (0-2 yrs)
EMP-5029,Employee 29,Marketing,Hr Specialist,,95000.0,4.5,12.0,Remote,,,,,,False,Lead/Principal (10+ yrs)
EMP-5030,Employee 30,Engineering,Software Engineer,2021-11-26,95000.0,1.0,5.0,Pune,2021.0,11.0,2021Q4,2021-11,Friday,False,Mid-Level (3-5 yrs)
EMP-5031,Employee 31,Engineering,Senior Developer,2023-12-09,95000.0,99.0,5.0,Bangalore,2023.0,12.0,2023Q4,2023-12,Saturday,True,Mid-Level (3-5 yrs)
EMP-5032,Employee 32,Sales,Software Engineer,2022-06-29,5000.0,5.0,45.0,Remote,2022.0,6.0,2022Q2,2022-06,Wednesday,False,Lead/Principal (10+ yrs)
EMP-5033,Employee 33,Finance,Software Engineer,2024-08-26,95000.0,2.0,45.0,Remote,2024.0,8.0,2024Q3,2024-08,Monday,False,Lead/Principal (10+ yrs)
EMP-5034,Employee 34,Hr,Senior Developer,,120000.0,4.5,15.0,Pune,,,,,,False,Lead/Principal (10+ yrs)
EMP-5035,Employee 35,Engineering,Account Executive,2025-06-19,5000.0,4.0,3.0,Remote,2025.0,6.0,2025Q2,2025-06,Thursday,False,Mid-Level (3-5 yrs)
EMP-5036,Employee 36,Engineering,Account Executive,2022-12-25,85000.0,99.0,3.0,Hyderabad,2022.0,12.0,2022Q4,2022-12,Sunday,True,Mid-Level (3-5 yrs)
EMP-5037,Employee 37,Finance,Financial Analyst,,1450000.0,2.0,45.0,Remote,,,,,,False,Lead/Principal (10+ yrs)
EMP-5038,Employee 38,Finance,Senior Developer,2022-06-22,95000.0,4.0,1.0,Pune,2022.0,6.0,2022Q2,2022-06,Wednesday,False,Junior (0-2 yrs)
EMP-5039,Employee 39,Marketing,Hr Specialist,2025-04-01,85000.0,1.0,8.0,Remote,2025.0,4.0,2025Q2,2025-04,Tuesday,False,Senior (6-10 yrs)
EMP-5040,Employee 40,Sales,Hr Specialist,2022-12-12,95000.0,1.0,8.0,Remote,2022.0,12.0,2022Q4,2022-12,Monday,False,Senior (6-10 yrs)
EMP-5041,Employee 41,Engineering,Financial Analyst,2024-02-16,95000.0,4.0,8.0,Hyderabad,2024.0,2.0,2024Q1,2024-02,Friday,False,Senior (6-10 yrs)
EMP-5042,Employee 42,Engineering,Marketing Lead,2020-02-22,95000.0,4.5,8.0,Remote,2020.0,2.0,2020Q1,2020-02,Saturday,True,Senior (6-10 yrs)
EMP-5043,Employee 43,Finance,Senior Developer,2025-04-05,95000.0,2.0,3.0,Hyderabad,2025.0,4.0,2025Q2,2025-04,Saturday,True,Mid-Level (3-5 yrs)
EMP-5044,Employee 44,Finance,Software Engineer,2024-02-06,85000.0,99.0,1.0,Hyderabad,2024.0,2.0,2024Q1,2024-02,Tuesday,False,Junior (0-2 yrs)
EMP-5045,Employee 45,Finance,Senior Developer,2020-10-20,85000.0,99.0,45.0,Hyderabad,2020.0,10.0,2020Q4,2020-10,Tuesday,False,Lead/Principal (10+ yrs)
EMP-5046,Employee 46,Human Resources,Software Engineer,2022-07-28,85000.0,4.0,8.0,Bangalore,2022.0,7.0,2022Q3,2022-07,Thursday,False,Senior (6-10 yrs)
EMP-5047,Employee 47,Finance,Account Executive,2024-08-24,120000.0,4.0,8.0,Hyderabad,2024.0,8.0,2024Q3,2024-08,Saturday,True,Senior (6-10 yrs)
EMP-5048,Employee 48,Engineering,Hr Specialist,2020-07-16,120000.0,3.0,12.0,Bangalore,2020.0,7.0,2020Q3,2020-07,Thursday,False,Lead/Principal (10+ yrs)
EMP-5049,Employee 49,Finance,Senior Developer,2025-01-25,95000.0,1.0,45.0,Remote,2025.0,1.0,2025Q1,2025-01,Saturday,True,Lead/Principal (10+ yrs)
EMP-5050,Employee 50,Finance,Hr Specialist,2022-02-11,5000.0,1.0,45.0,Remote,2022.0,2.0,2022Q1,2022-02,Friday,False,Lead/Principal (10+ yrs)
EMP-5051,Employee 51,Finance,Software Engineer,2022-03-03,95000.0,1.0,12.0,Remote,2022.0,3.0,2022Q1,2022-03,Thursday,False,Lead/Principal (10+ yrs)
EMP-5052,Employee 52,Engineering,Account Executive,2022-03-20,85000.0,5.0,15.0,Remote,2022.0,3.0,2022Q1,2022-03,Sunday,True,Lead/Principal (10+ yrs)
EMP-5053,Employee 53,Finance,Software Engineer,2024-02-28,1450000.0,4.0,5.0,Remote,2024.0,2.0,2024Q1,2024-02,Wednesday,False,Mid-Level (3-5 yrs)
EMP-5054,Employee 54,Hr,Marketing Lead,2022-02-11,1450000.0,5.0,8.0,Remote,2022.0,2.0,2022Q1,2022-02,Friday,False,Senior (6-10 yrs)
EMP-5055,Employee 55,Engineering,Software Engineer,2024-01-22,95000.0,4.0,15.0,Bangalore,2024.0,1.0,2024Q1,2024-01,Monday,False,Lead/Principal (10+ yrs)
EMP-5056,Employee 56,Sales,Hr Specialist,2024-07-11,1450000.0,1.0,45.0,Remote,2024.0,7.0,2024Q3,2024-07,Thursday,False,Lead/Principal (10+ yrs)
EMP-5057,Employee 57,Sales,Senior Developer,2020-11-21,120000.0,4.0,12.0,Remote,2020.0,11.0,2020Q4,2020-11,Saturday,True,Lead/Principal (10+ yrs)
EMP-5058,Employee 58,Human Resources,Financial Analyst,2020-12-21,5000.0,4.0,5.0,Remote,2020.0,12.0,2020Q4,2020-12,Monday,False,Mid-Level (3-5 yrs)
EMP-5059,Employee 59,Hr,Software Engineer,2024-07-31,5000.0,4.0,12.0,Hyderabad,2024.0,7.0,2024Q3,2024-07,Wednesday,False,Lead/Principal (10+ yrs)
EMP-5060,Employee 60,Sales,Financial Analyst,2025-02-15,120000.0,4.5,5.0,Bangalore,2025.0,2.0,2025Q1,2025-02,Saturday,True,Mid-Level (3-5 yrs)
EMP-5061,Employee 61,Engineering,Financial Analyst,2023-04-20,120000.0,4.0,8.0,Remote,2023.0,4.0,2023Q2,2023-04,Thursday,False,Senior (6-10 yrs)
EMP-5062,Employee 62,Finance,Marketing Lead,2025-01-30,120000.0,99.0,1.0,Remote,2025.0,1.0,2025Q1,2025-01,Thursday,False,Junior (0-2 yrs)
EMP-5063,Employee 63,Finance,Marketing Lead,2024-12-09,1450000.0,3.0,8.0,Hyderabad,2024.0,12.0,2024Q4,2024-12,Monday,False,Senior (6-10 yrs)
EMP-5064,Employee 64,Sales,Financial Analyst,2024-10-25,5000.0,1.0,1.0,Remote,2024.0,10.0,2024Q4,2024-10,Friday,False,Junior (0-2 yrs)
EMP-5065,Employee 65,Finance,Marketing Lead,2020-12-01,95000.0,5.0,8.0,Remote,2020.0,12.0,2020Q4,2020-12,Tuesday,False,Senior (6-10 yrs)
EMP-5066,Employee 66,Marketing,Marketing Lead,2021-01-04,95000.0,4.0,1.0,Remote,2021.0,1.0,2021Q1,2021-01,Monday,False,Junior (0-2 yrs)
EMP-5067,Employee 67,Hr,Hr Specialist,2021-05-10,95000.0,5.0,8.0,Remote,2021.0,5.0,2021Q2,2021-05,Monday,False,Senior (6-10 yrs)
EMP-5068,Employee 68,Engineering,Senior Developer,2023-07-01,120000.0,99.0,8.0,Hyderabad,2023.0,7.0,2023Q3,2023-07,Saturday,True,Senior (6-10 yrs)
EMP-5069,Employee 69,Human Resources,Software Engineer,2025-01-21,120000.0,2.0,15.0,Bangalore,2025.0,1.0,2025Q1,2025-01,Tuesday,False,Lead/Principal (10+ yrs)
EMP-5070,Employee 70,Engineering,Account Executive,2023-07-05,1450000.0,1.0,8.0,Hyderabad,2023.0,7.0,2023Q3,2023-07,Wednesday,False,Senior (6-10 yrs)
EMP-5071,Employee 71,Finance,Hr Specialist,2021-05-04,5000.0,4.0,45.0,Remote,2021.0,5.0,2021Q2,2021-05,Tuesday,False,Lead/Principal (10+ yrs)
EMP-5072,Employee 72,Finance,Account Executive,2022-08-12,120000.0,4.5,45.0,Remote,2022.0,8.0,2022Q3,2022-08,Friday,False,Lead/Principal (10+ yrs)
EMP-5073,Employee 73,Finance,Software Engineer,2021-03-05,95000.0,2.0,1.0,Hyderabad,2021.0,3.0,2021Q1,2021-03,Friday,False,Junior (0-2 yrs)
EMP-5074,Employee 74,Sales,Marketing Lead,2021-03-04,95000.0,1.0,3.0,Remote,2021.0,3.0,2021Q1,2021-03,Thursday,False,Mid-Level (3-5 yrs)
EMP-5075,Employee 75,Finance,Senior Developer,2024-05-15,1450000.0,5.0,12.0,Remote,2024.0,5.0,2024Q2,2024-05,Wednesday,False,Lead/Principal (10+ yrs)
EMP-5076,Employee 76,Marketing,Financial Analyst,2020-07-28,95000.0,2.0,5.0,Remote,2020.0,7.0,2020Q3,2020-07,Tuesday,False,Mid-Level (3-5 yrs)
EMP-5077,Employee 77,Marketing,Hr Specialist,2021-07-05,95000.0,4.0,1.0,Bangalore,2021.0,7.0,2021Q3,2021-07,Monday,False,Junior (0-2 yrs)
EMP-5078,Employee 78,Finance,Hr Specialist,2022-12-05,120000.0,4.0,15.0,Bangalore,2022.0,12.0,2022Q4,2022-12,Monday,False,Lead/Principal (10+ yrs)
EMP-5079,Employee 79,Sales,Account Executive,2021-11-26,95000.0,2.0,8.0,Remote,2021.0,11.0,2021Q4,2021-11,Friday,False,Senior (6-10 yrs)
EMP-5080,Employee 80,Finance,Hr Specialist,2022-08-11,95000.0,4.5,3.0,Hyderabad,2022.0,8.0,2022Q3,2022-08,Thursday,False,Mid-Level (3-5 yrs)
EMP-5081,Employee 81,Marketing,Marketing Lead,2022-07-03,95000.0,5.0,3.0,Bangalore,2022.0,7.0,2022Q3,2022-07,Sunday,True,Mid-Level (3-5 yrs)
EMP-5082,Employee 82,Finance,Account Executive,2021-03-25,1450000.0,99.0,45.0,Remote,2021.0,3.0,2021Q1,2021-03,Thursday,False,Lead/Principal (10+ yrs)
EMP-5083,Employee 83,Finance,Financial Analyst,2021-09-05,95000.0,1.0,1.0,Bangalore,2021.0,9.0,2021Q3,2021-09,Sunday,True,Junior (0-2 yrs)
EMP-5084,Employee 84,Finance,Marketing Lead,2025-02-20,5000.0,4.5,8.0,Remote,2025.0,2.0,2025Q1,2025-02,Thursday,False,Senior (6-10 yrs)
EMP-5085,Employee 85,Finance,Marketing Lead,2024-03-15,120000.0,2.0,12.0,Hyderabad,2024.0,3.0,2024Q1,2024-03,Friday,False,Lead/Principal (10+ yrs)
EMP-5086,Employee 86,Finance,Senior Developer,2022-01-08,95000.0,4.5,12.0,Pune,2022.0,1.0,2022Q1,2022-01,Saturday,True,Lead/Principal (10+ yrs)
EMP-5087,Employee 87,Hr,Hr Specialist,2024-03-08,5000.0,2.0,8.0,Bangalore,2024.0,3.0,2024Q1,2024-03,Friday,False,Senior (6-10 yrs)
EMP-5088,Employee 88,Marketing,Account Executive,2020-08-05,85000.0,5.0,1.0,Bangalore,2020.0,8.0,2020Q3,2020-08,Wednesday,False,Junior (0-2 yrs)
EMP-5089,Employee 89,Engineering,Marketing Lead,2024-06-17,95000.0,3.0,1.0,Remote,2024.0,6.0,2024Q2,2024-06,Monday,False,Junior (0-2 yrs)
EMP-5090,Employee 90,Finance,Senior Developer,2020-09-30,5000.0,4.0,8.0,Remote,2020.0,9.0,2020Q3,2020-09,Wednesday,False,Senior (6-10 yrs)
EMP-5091,Employee 91,Finance,Senior Developer,2020-04-23,85000.0,2.0,8.0,Remote,2020.0,4.0,2020Q2,2020-04,Thursday,False,Senior (6-10 yrs)
EMP-5092,Employee 92,Marketing,Senior Developer,2022-11-30,85000.0,5.0,1.0,Bangalore,2022.0,11.0,2022Q4,2022-11,Wednesday,False,Junior (0-2 yrs)
EMP-5093,Employee 93,Marketing,Senior Developer,2025-05-14,5000.0,4.0,12.0,Pune,2025.0,5.0,2025Q2,2025-05,Wednesday,False,Lead/Principal (10+ yrs)
EMP-5094,Employee 94,Human Resources,Account Executive,2021-10-08,1450000.0,3.0,5.0,Remote,2021.0,10.0,2021Q4,2021-10,Friday,False,Mid-Level (3-5 yrs)
EMP-5095,Employee 95,Finance,Senior Developer,2021-08-02,95000.0,4.0,1.0,Hyderabad,2021.0,8.0,2021Q3,2021-08,Monday,False,Junior (0-2 yrs)
EMP-5096,Employee 96,Sales,Senior Developer,2020-08-08,85000.0,4.0,5.0,Remote,2020.0,8.0,2020Q3,2020-08,Saturday,True,Mid-Level (3-5 yrs)
EMP-5097,Employee 97,Finance,Financial Analyst,,120000.0,2.0,5.0,Remote,,,,,,False,Mid-Level (3-5 yrs)
EMP-5098,Employee 98,Engineering,Account Executive,2023-07-30,5000.0,4.0,3.0,Remote,2023.0,7.0,2023Q3,2023-07,Sunday,True,Mid-Level (3-5 yrs)
EMP-5099,Employee 99,Human Resources,Senior Developer,2020-10-16,85000.0,1.0,1.0,Remote,2020.0,10.0,2020Q4,2020-10,Friday,False,Junior (0-2 yrs)
EMP-5100,Employee 100,Human Resources,Marketing Lead,2021-03-08,95000.0,5.0,8.0,Bangalore,2021.0,3.0,2021Q1,2021-03,Monday,False,Senior (6-10 yrs)
